LG,TM,FIRST,LAST,USE,B/P,C,1B,2B,3B,SS,LF,CF,RF,,,,,,,,,,,,
NL,ML,Manny,Pina,REG,B,2,,,,,,,,,,,,,,,,,,,
NL,ML,Eric,Sogard,REG,B,,,3,3,4,5,,,,,,,,,,,,,,
NL,ML,Tyrone,Taylor,ADD,B,,,,,,3,4,3,,,,,,,,,,,,
NL,ML,Luis,Urias,REG,B,,,3,2,3,,,,,,,,,,,,,,,
NL,ML,Daniel,Vogelbach-2,REG,B,,5,,,,,,,,,,,,,,,,,,
NL,ML,Christian,Yelich,REG,B,,,,,,3,,,,,,,,,,,,,,
NL,ML,Houser,Adrian,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Claudio,Alex,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Perdomo,Angel,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Wahl,Bobby,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Woodruff,Brandon,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Suter,Brent,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Anderson,Brett,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Burnes,Corbin,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Knebel,Corey,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Williams,Devin,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Rasmussen,Drew,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Lauer,Eric,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Yardley,Eric,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Peralta,Freddy,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Feyereisen,J.P.,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Hader,Josh,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Lindblom,Josh,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Grimm,Justin,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Topa,Justin,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Bickford,Phil,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Black,Ray,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Pete,Alonso,REG,B,,4,,,,,,,,,,,,,,,,,,
NL,NM,Robinson,Cano,REG,B,,,4(B3),,,,,,,,,,,,,,,,,
NL,NM,Yoenis,Cespedes,ADD,B,,,,,,,,,,,,,,,,,,,,
NL,NM,Robinson,Chirinos-2,REG,B,3,,,,,,,,,,,,,,,,,,,
NL,NM,Michael,Conforto,REG,B,,,,,,,,3(B2),,,,,,,,,,,,
NL,NM,Ryan,Cordell,COMP,B,,,,,,,3,3,,,,,,,,,,,,
NL,NM,J.D.,Davis-1,REG,B,,,,4,,5,,,,,,,,,,,,,,
NL,NM,Brian,Dozier,ADD,B,,,3,,,,,,,,,,,,,,,,,
NL,NM,Todd,Frazier-2,REG,B,,,,3,,,,,,,,,,,,,,,,
NL,NM,Andres,Gimenez,REG,B,,,2,3,2,,,,,,,,,,,,,,,
NL,NM,Luis,Guillorme,REG,B,,,2,4,4,,,,,,,,,,,,,,,
NL,NM,Guillermo,Heredia,ADD,B,,,,,,,2,2,,,,,,,,,,,,
NL,NM,Jake,Marisnick,REG,B,,,,,,,1,,,,,,,,,,,,,
NL,NM,Jeff,McNeil,REG,B,,,3,3(B4),,3,,3,,,,,,,,,,,,
NL,NM,Tomas,Nido,ADD,B,3,,,,,,,,,,,,,,,,,,,
NL,NM,Brandon,Nimmo,REG,B,,,,,,3,4,3,,,,,,,,,,,,
NL,NM,Eduardo,Nunez,COMP,B,,,,,,,,5,,,,,,,,,,,,
NL,NM,Wilson,Ramos,REG,B,4,,,,,,,,,,,,,,,,,,,
NL,NM,Rene,Rivera,COMP,B,4,,,,,,,,,,,,,,,,,,,
NL,NM,Amed,Rosario,REG,B,,,,,3,,,,,,,,,,,,,,,
NL,NM,Ali,Sanchez,COMP,B,4,,,,,,,,,,,,,,,,,,,
NL,NM,Dominic,Smith,REG,B,,3,,,,5,,,,,,,,,,,,,,
NL,NM,Jurado,Ariel,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Brach,Brad,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Shreve,Chasen,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Oswalt,Corey,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Peterson,David,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Betances,Dellin,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Smith,Drew,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Diaz,Edwin,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Ramirez,Erasmo,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Kilome,Franklyn,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Strickland,Hunter,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,NM,deGrom,Jacob,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Hughes,Jared,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Familia,Jeurys,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Wilson,Justin,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Wacha,Michael,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Castro-2,Miguel,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Sewald,Paul,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Porcello,Rick,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Gsellman,Robert,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Lugo,Seth,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Matz,Steven,REG,P,,,,,,,,,,,,,,,,,,,,
NL,NM,Lockett-1,Walker,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Alec,Bohm,REG,B,,4,,4,,,,,,,,,,,,,,,,
NL,PH,Jay,Bruce,REG,B,,5,,,,5,,5,,,,,,,,,,,,
NL,PH,Kyle,Garlick,ADD,B,,,,,,4,,4,,,,,,,,,,,,
NL,PH,Phil,Gosselin,REG,B,,4,4,4,,4,,4,,,,,,,,,,,,
NL,PH,Didi,Gregorius,REG,B,,,,,2,,,,,,,,,,,,,,,
NL,PH,Bryce,Harper,REG,B,,,,,,,4,2,,,,,,,,,,,,
NL,PH,Adam,Haseley,REG,B,,,,,,3,4,3,,,,,,,,,,,,
NL,PH,Rhys,Hoskins,REG,B,,4,,,,,,,,,,,,,,,,,,
NL,PH,Scott,Kingery,REG,B,,,3(B4),,4,,3,,,,,,,,,,,,,
NL,PH,Andrew,Knapp,REG,B,4,4,,,,,,,,,,,,,,,,,,
NL,PH,Rafael,Marchan,COMP,B,3,,,,,,,,,,,,,,,,,,,
NL,PH,Andrew,McCutchen,REG,B,,,,,,4,,,,,,,,,,,,,,
NL,PH,Mickey,Moniak,COMP,B,,,,,,4,,4,,,,,,,,,,,,
NL,PH,Roman,Quinn,REG,B,,,,,,,3,3,,,,,,,,,,,,
NL,PH,J.T.,Realmuto,REG,B,1,3,,,,,,,,,,,,,,,,,,
NL,PH,Jean,Segura,REG,B,,,2,3,4,,,,,,,,,,,,,,,
NL,PH,Ronald,Torreyes,COMP,B,,,3,,3,,4,,,,,,,,,,,,,
NL,PH,Neil,Walker,ADD,B,,4,4,4,,5,,,,,,,,,,,,,,
NL,PH,Nola,Aaron,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Morgan,Adam,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Medina,Adonis,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Parker,Blake,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Workman-2,Brandon,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Irvin,Cole,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Brogdon,Connor,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Hale-2,David,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Phelps,David,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Guerra,Deolis,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Cleavinger,Garrett,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Hembree-2,Heath,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Neris,Hector,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Arrieta,Jake,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Romero,JoJo,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Alvarez,Jose,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Llovera,Mauricio,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Pivetta-1,Nick,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Rosso,Ramon,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Suarez,Ranger,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PH,McClain,Reggie,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Howard-2,Spencer,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Hunter,Tommy,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Kelley,Trevor,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Velasquez,Vince,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Eflin,Zach,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PH,Wheeler,Zack,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Anthony,Alford-2,COMP,B,,,,,,2,3,,,,,,,,,,,,,
NL,PI,Josh,Bell,REG,B,,4,,,,,,,,,,,,,,,,,,
NL,PI,Will,Craig,COMP,B,,3,,,,,,,,,,,,,,,,,,
NL,PI,Jarrod,Dyson-1,ADD,B,,,,,,,2,,,,,,,,,,,,,
NL,PI,Phillip,Evans,ADD,B,,4,,4,,4,,4,,,,,,,,,,,,
NL,PI,Adam,Frazier,REG,B,,,2,,,3,,,,,,,,,,,,,,
NL,PI,Erik,Gonzalez,REG,B,,,,3,3,,,,,,,,,,,,,,,
NL,PI,Ke'Bryan,Hayes,REG,B,,,,2,,,,,,,,,,,,,,,,
NL,PI,Jason,Martin,COMP,B,,,,,,,4,,,,,,,,,,,,,
NL,PI,Colin,Moran,REG,B,,4,,4,,,,,,,,,,,,,,,,
NL,PI,John Ryan,Murphy,REG,B,2,,,,,,,,,,,,,,,,,,,
NL,PI,Kevin,Newman,REG,B,,,3(B4),,3,,,,,,,,,,,,,,,
NL,PI,Jared,Oliva,ADD,B,,,,,,3,3,,,,,,,,,,,,,
NL,PI,Jose,Osuna,REG,B,,4,,4,,5,,5,,,,,,,,,,,,
NL,PI,Gregory,Polanco,REG,B,,,,,,,,4,,,,,,,,,,,,
NL,PI,Bryan,Reynolds,REG,B,,,,,,2,3,,,,,,,,,,,,,
NL,PI,JT,Riddle,REG,B,,4,4,4(B5),4,4,4,4,,,,,,,,,,,,
NL,PI,Jacob,Stallings,REG,B,2,,,,,,,,,,,,,,,,,,,
NL,PI,Andrew,Susac,COMP,B,3,,,,,,,,,,,,,,,,,,,
NL,PI,Cole,Tucker,REG,B,,,4,,,,4,3,,,,,,,,,,,,
NL,PI,Davis,Austin,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Cederlind,Blake,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Waddell,Brandon,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Kuhl,Chad,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Stratton,Chris,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Holmes,Clay,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Ponce,Cody,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Holland,Derek,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Neverauskas,Dovydas,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Hartlieb,Geoff,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Musgrove,Joe,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Brubaker,JT,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Kela,Keone,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Crick,Kyle,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Feliz,Michael,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Del Pozo,Miguel,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Keller,Mitch,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Burdi,Nick,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Mears,Nick,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Tropeano,Nick,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Turley,Nik,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Rodriguez,Richard,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Howard-1,Sam,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Brault,Steven,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Williams-3,Trevor,REG,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Bashlor,Tyler,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,PI,Rios,Yacksel,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Harrison,Bader,REG,B,,,,,,,1(B2),,,,,,,,,,,,,
NL,SC,Dylan,Carlson,REG,B,,,,,,2,3,2,,,,,,,,,,,,
NL,SC,Matt,Carpenter,REG,B,,4,,3,,,,,,,,,,,,,,,,
NL,SC,Austin,Dean,COMP,B,,5,,,,4,,,,,,,,,,,,,,
NL,SC,Paul,DeJong,REG,B,,,,,2,,,,,,,,,,,,,,,
NL,SC,Tommy,Edman,REG,B,,,3,2(B3),4,4,,4,,,,,,,,,,,,
NL,SC,Dexter,Fowler,REG,B,,,,,,,,3,,,,,,,,,,,,
NL,SC,Paul,Goldschmidt,REG,B,,1,,,,,,,,,,,,,,,,,,
NL,SC,Andrew,Knizner,ADD,B,4,,,,,,,,,,,,,,,,,,,
NL,SC,Brad,Miller,REG,B,,,4,4(B5),4,,,,,,,,,,,,,,,
NL,SC,Yadier,Molina,REG,B,2,4,,,,,,,,,,,,,,,,,,
NL,SC,John,Nogowski,COMP,B,,3,,,,,,,,,,,,,,,,,,
NL,SC,Tyler,O'Neill,REG,B,,,,,,2(B1),,,,,,,,,,,,,,
NL,SC,Rangel,Ravelo,ADD,B,,4,,,,5,,5,,,,,,,,,,,,
NL,SC,Max,Schrock,ADD,B,,,4,4,,,,,,,,,,,,,,,,
NL,SC,Lane,Thomas,REG,B,,,,,,,4,3,,,,,,,,,,,,
NL,SC,Matt,Wieters,REG,B,4,,,,,,,,,,,,,,,,,,,
NL,SC,Justin,Williams,COMP,B,,,,,,,,4,,,,,,,,,,,,
NL,SC,Kolten,Wong,REG,B,,,1,,,,,,,,,,,,,,,,,
NL,SC,Wainwright,Adam,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Reyes,Alex,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Miller,Andrew,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Gomber,Austin,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Martinez,Carlos,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Hudson-1,Dakota,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Ponce de Leon,Daniel,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Cabrera,Genesis,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Gallegos,Giovanny,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Flaherty,Jack,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Woodford,Jake,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Cruz,Jesus,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Oviedo,Johan,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Gant,John,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Fernandez,Junior,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Whitley,Kodi,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Kim,Kwang-hyun,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Crismatt,Nabil,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Sanchez,Ricardo,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Kaminsky,Rob,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Ramirez,Roel,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Helsley,Ryan,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Meisinger,Ryan,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Elledge,Seth,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SC,Webb,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Greg,Allen-2,COMP,B,,,,,,2,,2,,,,,,,,,,,,
NL,SD,Abraham,Almonte,COMP,B,,,,,,4,,,,,,,,,,,,,,
NL,SD,Luis,Campusano,COMP,B,,,,,,,,,,,,,,,,,,,,
NL,SD,Jason,Castro-2,REG,B,3,,,,,,,,,,,,,,,,,,,
NL,SD,Jake,Cronenworth,REG,B,,3,2,4,3,,,,,,,,,,,,,,,
NL,SD,Ty,France-1,MIX,B,,4,,4,,,,,,,,,,,,,,,,
NL,SD,Greg,Garcia,REG,B,,,4,4,,,,,,,,,,,,,,,,
NL,SD,Trent,Grisham,REG,B,,,,,,,2,,,,,,,,,,,,,
NL,SD,Austin,Hedges-1,MIX,B,2,,,,,,,,,,,,,,,,,,,
NL,SD,Eric,Hosmer,REG,B,,3,,,,,,,,,,,,,,,,,,
NL,SD,Manny,Machado,REG,B,,,,1,,,,,,,,,,,,,,,,
NL,SD,Jorge,Mateo,REG,B,,,4,,,4,4,4,,,,,,,,,,,,
NL,SD,Francisco,Mejia,ADD,B,4,,,,,,,,,,,,,,,,,,,
NL,SD,Mitch,Moreland-2,REG,B,,3,,,,,,,,,,,,,,,,,,
NL,SD,Wil,Myers,REG,B,,3,,,,,,3,,,,,,,,,,,,
NL,SD,Josh,Naylor-1,ADD,B,,,,,,5,,5,,,,,,,,,,,,
NL,SD,Austin,Nola-2,REG,B,3,,,,,,,,,,,,,,,,,,,
NL,SD,Edward,Olivares-1,ADD,B,,,,,,3,3,3,,,,,,,,,,,,
NL,SD,Jorge,Ona,COMP,B,,,,,,,,5,,,,,,,,,,,,
NL,SD,Tommy,Pham,REG,B,,,,,,3,,,,,,,,,,,,,,
NL,SD,Jurickson,Profar,REG,B,,4,4,,,3,4,4,,,,,,,,,,,,
NL,SD,Fernando,Tatis Jr,REG,B,,,,,1,,,,,,,,,,,,,,,
NL,SD,Luis,Torrens-1,COMP,B,4,,,,,,,,,,,,,,,,,,,
NL,SD,Morejon,Adrian,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Adams,Austin,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Quantrill-1,Cal,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Paddack,Chris,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Stammen,Craig,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Altavilla-2,Dan,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Bednar,David,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Lamet,Dinelson,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Pomeranz,Drew,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Pagan,Emilio,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Richards,Garrett,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Guerra-2,Javy,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Lucchesi,Joey,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Yates,Kirby,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Patino,Luis,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Perdomo,Luis,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Strahm,Matt,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Baez,Michel,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Clevinger-2,Mike,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Johnson,Pierce,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Williams-2,Taylor,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Hill,Tim,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Rosenthal-2,Trevor,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SD,Davies,Zach,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Joey,Bart,REG,B,4(B3),,,,,,,,,,,,,,,,,,,
NL,SF,Luis Alexander,Basabe,COMP,B,,,,,,3,,3,,,,,,,,,,,,
NL,SF,Brandon,Belt,REG,B,,1(B2),,,,,,,,,,,,,,,,,,
NL,SF,Rob,Brantly,COMP,B,4,,,,,,,,,,,,,,,,,,,
NL,SF,Brandon,Crawford,REG,B,,,,,2,,,,,,,,,,,,,,,
NL,SF,Jaylin,Davis-2,COMP,B,,,,,,,,3,,,,,,,,,,,,
NL,SF,Alex,Dickerson,REG,B,,,,,,4,,4,,,,,,,,,,,,
NL,SF,Mauricio,Dubon,REG,B,,,2,,4,,3,,,,,,,,,,,,,
NL,SF,Steven,Duggar,REG,B,,,,,,2,3,2,,,,,,,,,,,,
NL,SF,Wilmer,Flores,REG,B,,4,4,4,,,,,,,,,,,,,,,,
NL,SF,Tyler,Heineman,ADD,B,4,,,,,,,,,,,,,,,,,,,
NL,SF,Evan,Longoria,REG,B,,,,2,,,,,,,,,,,,,,,,
NL,SF,Joe,McCarthy,COMP,B,,,,,,4,,4,,,,,,,,,,,,
NL,SF,Hunter,Pence,ADD,B,,,,,,4,,4,,,,,,,,,,,,
NL,SF,Joey,Rickard,COMP,B,,,,,,,,3,,,,,,,,,,,,
NL,SF,Daniel,Robertson,ADD,B,,,2,2,3,4,,,,,,,,,,,,,,
NL,SF,Darin,Ruf,REG,B,,4,,,,5,,5,,,,,,,,,,,,
NL,SF,Austin,Slater,REG,B,,,,,,3(B4),,3(B4),,,,,,,,,,,,
NL,SF,Justin,Smoak,MIX,B,,2(B3),,,,,,,,,,,,,,,,,,
NL,SF,Donovan,Solano,REG,B,,,4,4(B5),4,,,,,,,,,,,,,,,
NL,SF,Chadwick,Tromp,REG,B,4,,,,,,,,,,,,,,,,,,,
NL,SF,Mike,Yastrzemski,REG,B,,,,,,2,3,1,,,,,,,,,,,,
NL,SF,Suarez,Andrew,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Triggs-1,Andrew,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Baragar,Caleb,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Menez,Conner,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Jimenez,Dany,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Rodriguez,Dereck,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Smyly,Drew,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Garcia,Jarlin,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Samardzija,Jeff,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Cueto,Johnny,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Gausman,Kevin,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Webb,Logan,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Garcia-1,Rico,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Coonrod,Sam,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Selman,Sam,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Anderson,Shaun,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Watson,Tony,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Cahill,Trevor,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Gott,Trevor,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Anderson,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Rogers-3,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
NL,SF,Peralta,Wandy,REG,P,,,,,,,,,,,,,,,,,,,,
NL,WN,Emilio,Bonifacio,COMP,B,,,,,,4,,,,,,,,,,,,,,
NL,WN,Asdrubal,Cabrera,REG,B,,4,,4,,,,,,,,,,,,,,,,
NL,WN,Starlin,Castro,MIX,B,,,3(B4),,,,,,,,,,,,,,,,,
NL,WN,Wilmer,Difo,COMP,B,,,3,3,3,,,,,,,,,,,,,,,
NL,WN,Adam,Eaton,REG,B,,,,,,,,4(B3),,,,,,,,,,,,
NL,WN,Luis,Garcia-2,REG,B,,,3(B4),,4,,,,,,,,,,,,,,,
NL,WN,Yan,Gomes,REG,B,2,,,,,,,,,,,,,,,,,,,
NL,WN,Josh,Harrison,REG,B,,4,4,4,,4,,4,,,,,,,,,,,,
NL,WN,Yadiel,Hernandez,ADD,B,,,,,,,,4,,,,,,,,,,,,
NL,WN,Brock,Holt,REG,B,,4,,3,,4,,4,,,,,,,,,,,,
NL,WN,Howie,Kendrick,REG,B,,4,,,,,,,,,,,,,,,,,,
NL,WN,Carter,Kieboom,REG,B,,,,3,,,,,,,,,,,,,,,,
NL,WN,Jake,Noll,ADD,B,,4,,4,,,,,,,,,,,,,,,,
NL,WN,Victor,Robles,REG,B,,,,,,,3(B2),,,,,,,,,,,,,
NL,WN,Juan,Soto,REG,B,,,,,,3,,3,,,,,,,,,,,,
NL,WN,Andrew,Stevenson,ADD,B,,,,,,2,3,2,,,,,,,,,,,,
NL,WN,Kurt,Suzuki,REG,B,3,,,,,,,,,,,,,,,,,,,
NL,WN,Michael,Taylor,REG,B,,,,,,2,2,2,,,,,,,,,,,,
NL,WN,Eric,Thames,REG,B,,4,,,,,,,,,,,,,,,,,,
NL,WN,Trea,Turner,REG,B,,,,,2(B3),,,,,,,,,,,,,,,
NL,WN,Barrett,Aaron,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,WN,Sanchez,Anibal,REG,P,,,,,,,,,,,,,,,,,,,,
NL,WN,Voth,Austin,REG,P,,,,,,,,,,,,,,,,,,,,
NL,WN,Braymer,Ben,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,WN,Bacus,Dakota,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,WN,Hudson-2,Daniel,REG,P,,,,,,,,,,,,,,,,,,,,
NL,WN,Fedde,Erick,REG,P,,,,,,,,,,,,,,,,,,,,
NL,WN,Bourque,James,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,WN,Guerra-1,Javy,REG,P,,,,,,,,,,,,,,,,,,,,
NL,WN,Finnegan,Kyle,REG,P,,,,,,,,,,,,,,,,,,,,
NL,WN,McGowin,Kyle,REG,P,,,,,,,,,,,,,,,,,,,,
